,intensidad,alerta
doy_cos,2.65,6.86
doy_sin,2.75,4.79
clim_p50,33.16,4.79
lon,8.19,4.53
t850,3.39,4.46
clim_p90,8.47,3.89
dt850_24,0.96,3.80
rh2m,1.38,3.69
ws_700hPa,1.21,3.38
lat,10.38,3.13
pmsl,1.43,2.96
dp24,1.09,2.94
tail_850hPa,1.99,2.92
precip_h,1.37,2.84
t2m,1.93,2.79
tail0_700hPa,1.22,2.53
precip,2.46,2.47
ws_850hPa,1.17,2.36
cloud,1.05,2.35
cross_700hPa,0.71,2.33
gh850,0.75,2.32
ws_925hPa,1.08,2.29
dt24,0.61,2.28
tail_700hPa,1.20,2.15
tail0_850hPa,2.17,2.03
ws_10m,1.22,1.90
cross_925hPa,0.60,1.87
ws_100m,0.96,1.86
cross_850hPa,0.59,1.83
tail_925hPa,0.55,1.65
tail0_925hPa,0.43,1.64
cross_100m,0.51,1.51
cross_10m,0.64,1.50
tail0_10m,0.44,1.43
tail0_100m,0.45,1.34
tail_100m,0.36,1.31
tail_10m,0.48,1.28
