split,n,spearman,r2,r2_clim,auc,auc_intensidad,alertas_obs,alertas_pred,acierto,falsa_alarma
año 2021,6894,0.499,-0.109,-0.141,0.843,0.621,587,727,0.256,0.794
año 2022,3774,0.747,0.514,0.413,0.903,0.732,363,399,0.237,0.784
año 2023,5583,0.676,0.460,0.324,0.914,0.665,291,585,0.230,0.885
año 2024,5687,0.716,0.540,0.354,0.776,0.659,105,586,0.190,0.966
año 2025,5481,0.761,0.586,0.402,0.925,0.792,175,560,0.274,0.914
año 2026,3798,0.602,0.357,0.189,0.887,0.681,139,349,0.259,0.897
radar esahr,122,0.277,-0.301,-0.009,0.663,0.637,11,13,0.182,0.846
radar esalm,359,0.124,-1.508,-2.780,0.602,0.544,83,37,0.145,0.676
radar esbad,357,0.634,0.299,-1.182,0.779,0.742,79,36,0.253,0.444
radar esbar,357,0.541,-0.069,-1.697,0.731,0.754,85,36,0.224,0.472
radar escor,220,0.402,-8.880,-17.190,0.781,0.677,72,23,0.250,0.217
radar esgld,125,0.224,-2.377,0.053,0.633,0.592,13,14,0.154,0.857
radar eslid,360,0.626,0.036,-0.536,0.818,0.804,82,37,0.317,0.297
radar esmad,359,0.641,-0.103,-1.323,0.819,0.768,87,37,0.287,0.324
radar esmal,359,0.367,-0.382,-2.195,0.758,0.686,89,36,0.213,0.472
radar esmur,209,0.498,-1.430,-4.208,0.782,0.748,52,21,0.250,0.381
radar espma,331,0.053,-1.950,-1.641,0.526,0.575,82,34,0.085,0.794
radar essan,353,0.390,-0.225,-6.189,0.811,0.800,82,36,0.293,0.333
radar essev,328,0.478,0.240,-1.647,0.747,0.710,82,33,0.244,0.394
radar essft,130,0.132,0.049,0.320,0.604,0.624,13,14,0.154,0.857
radar essse,356,0.522,0.138,-1.044,0.778,0.765,75,36,0.253,0.472
radar estjv,128,0.343,-0.502,0.170,0.540,0.546,13,14,0.154,0.857
radar esval,333,0.350,-1.634,-9.418,0.770,0.668,83,34,0.277,0.324
radar eszar,357,0.764,0.358,-0.748,0.806,0.836,85,36,0.235,0.444
radar frabb,1009,0.423,-0.176,-0.527,0.984,0.988,3,102,1.000,0.971
radar fraja,1012,0.145,-3.642,0.026,0.476,0.503,64,102,0.141,0.912
radar frale,885,0.267,-1.876,0.230,0.656,0.713,6,89,0.333,0.978
radar frave,613,0.201,-0.898,-0.537,,,0,62,0.000,1.000
radar frbla,986,0.691,0.483,-0.165,,,0,100,0.000,1.000
radar frbol,887,0.731,-0.233,0.165,0.524,0.836,9,90,0.000,1.000
radar frbor,1011,0.598,0.410,-0.581,0.663,0.929,1,102,0.000,1.000
radar frbou,964,0.493,-0.585,-0.036,0.974,0.991,6,97,1.000,0.938
radar frcae,975,0.516,0.061,-0.149,0.830,0.853,16,98,0.750,0.878
radar frche,886,0.566,0.384,-0.853,0.948,0.948,7,90,0.857,0.933
radar frcol,967,0.459,0.225,0.255,,,0,98,0.000,1.000
radar frgre,990,0.610,0.375,-0.704,,,0,100,0.000,1.000
radar frlep,933,0.496,-0.320,0.132,,,0,94,0.000,1.000
radar frmcl,958,0.549,-2.326,-0.383,0.951,0.643,3,96,0.667,0.979
radar frmom,825,0.380,0.090,-1.858,0.840,0.768,1,83,0.000,1.000
radar frmtc,993,0.503,-0.287,-0.187,0.705,0.723,12,100,0.333,0.960
radar frnan,989,0.555,-0.100,-0.107,0.547,0.971,2,100,0.500,0.990
radar frnim,996,0.630,-0.350,0.220,0.697,0.889,4,101,0.250,0.990
radar frniz,1006,0.337,-2.825,-0.313,0.325,0.501,5,102,0.000,1.000
radar fropo,989,0.611,0.197,0.168,0.666,0.729,15,100,0.267,0.960
radar frpla,1015,0.510,0.089,-0.093,0.830,0.921,20,102,0.550,0.892
radar frtou,1001,0.320,-0.677,-0.719,,,0,101,0.000,1.000
radar frtra,703,0.580,0.069,-0.568,,,0,71,0.000,1.000
radar frtre,792,0.611,0.352,-0.233,0.881,0.908,6,80,0.500,0.963
radar frtro,1005,0.610,0.420,-0.423,0.569,0.746,2,101,0.500,0.990
radar ptfar,681,0.330,-0.375,-0.288,0.725,0.763,96,69,0.281,0.609
radar ptflr,131,0.836,0.105,-0.088,0.919,0.932,14,14,0.571,0.429
radar ptlis,447,0.530,0.199,0.156,0.744,0.744,50,45,0.260,0.711
radar ptprt,721,0.626,0.346,0.160,0.795,0.808,80,73,0.275,0.699
radar ptsmg,132,0.739,0.165,-0.032,0.922,0.945,14,14,0.643,0.357
radar pttrc,507,0.816,-0.152,0.085,0.869,0.922,52,51,0.538,0.451
