split,n,spearman,r2,r2_clim,auc,auc_intensidad,alertas_obs,alertas_pred,acierto,falsa_alarma
año 2021,6894,0.490,-0.093,-0.141,0.599,0.513,771,727,0.256,0.729
año 2022,3774,0.749,0.517,0.413,0.712,0.710,518,399,0.288,0.627
año 2023,5583,0.647,0.420,0.324,0.709,0.627,582,585,0.284,0.718
año 2024,5687,0.699,0.495,0.354,0.691,0.610,462,586,0.262,0.794
año 2025,5481,0.746,0.562,0.402,0.712,0.689,491,560,0.285,0.750
año 2026,3798,0.588,0.320,0.189,0.701,0.663,341,349,0.258,0.748
radar esahr,122,0.314,-0.315,-0.009,0.535,0.567,13,13,0.154,0.846
radar esalm,359,0.015,-2.616,-2.780,0.620,0.476,37,37,0.270,0.730
radar esbad,357,0.601,0.293,-1.182,0.779,0.734,36,36,0.306,0.694
radar esbar,357,0.512,-0.109,-1.697,0.747,0.759,36,36,0.306,0.694
radar escor,220,0.397,-6.613,-17.190,0.652,0.700,23,23,0.348,0.652
radar esgld,125,0.255,-2.258,0.053,0.677,0.596,14,14,0.214,0.786
radar eslid,360,0.613,-0.010,-0.536,0.742,0.750,37,37,0.243,0.757
radar esmad,359,0.516,-0.246,-1.323,0.739,0.663,37,37,0.297,0.703
radar esmal,359,0.394,-0.401,-2.195,0.687,0.712,36,36,0.278,0.722
radar esmur,209,0.420,-1.196,-4.208,0.680,0.662,21,21,0.381,0.619
radar espma,331,-0.064,-1.643,-1.641,0.705,0.595,34,34,0.206,0.794
radar essan,353,0.352,-0.157,-6.189,0.693,0.703,36,36,0.250,0.750
radar essev,328,0.523,0.300,-1.647,0.768,0.743,33,33,0.333,0.667
radar essft,130,0.157,0.061,0.320,0.589,0.641,14,14,0.143,0.857
radar essse,356,0.424,0.008,-1.044,0.729,0.712,36,36,0.222,0.778
radar estjv,128,0.374,-0.463,0.170,0.645,0.616,14,14,0.214,0.786
radar esval,333,0.216,-1.988,-9.418,0.686,0.643,34,34,0.235,0.765
radar eszar,357,0.740,0.305,-0.748,0.739,0.772,36,36,0.278,0.722
radar frabb,1009,0.397,-0.445,-0.527,0.797,0.807,102,102,0.431,0.569
radar fraja,1012,0.111,-3.709,0.026,0.529,0.470,102,102,0.137,0.863
radar frale,885,0.175,-1.872,0.230,0.708,0.680,89,89,0.225,0.775
radar frave,613,0.235,-0.600,-0.537,0.724,0.588,62,62,0.387,0.613
radar frbla,986,0.641,0.417,-0.165,0.863,0.791,100,100,0.390,0.610
radar frbol,887,0.661,-0.299,0.165,0.698,0.753,90,90,0.189,0.811
radar frbor,1011,0.575,0.347,-0.581,0.765,0.781,102,102,0.402,0.598
radar frbou,964,0.461,-0.586,-0.036,0.839,0.748,97,97,0.361,0.639
radar frcae,975,0.472,0.005,-0.149,0.759,0.719,98,98,0.357,0.643
radar frche,886,0.548,0.324,-0.853,0.764,0.826,90,90,0.489,0.511
radar frcol,967,0.468,0.223,0.255,0.720,0.713,98,98,0.286,0.714
radar frgre,990,0.575,0.317,-0.704,0.771,0.783,100,100,0.360,0.640
radar frlep,933,0.432,-0.367,0.132,0.779,0.712,94,94,0.234,0.766
radar frmcl,958,0.463,-1.360,-0.383,0.731,0.596,96,96,0.333,0.667
radar frmom,825,0.340,0.087,-1.858,0.614,0.621,83,83,0.157,0.843
radar frmtc,993,0.490,-0.286,-0.187,0.732,0.700,100,100,0.280,0.720
radar frnan,989,0.598,0.016,-0.107,0.797,0.786,100,100,0.370,0.630
radar frnim,996,0.581,-0.439,0.220,0.742,0.729,101,101,0.238,0.762
radar frniz,1006,0.332,-2.336,-0.313,0.701,0.625,102,102,0.196,0.804
radar fropo,989,0.559,0.151,0.168,0.771,0.773,100,100,0.300,0.700
radar frpla,1015,0.551,0.003,-0.093,0.821,0.839,102,102,0.431,0.569
radar frtou,1001,0.338,-0.565,-0.719,0.594,0.647,101,101,0.149,0.851
radar frtra,703,0.577,0.060,-0.568,0.750,0.765,71,71,0.352,0.648
radar frtre,792,0.595,0.305,-0.233,0.857,0.873,80,80,0.487,0.512
radar frtro,1005,0.590,0.385,-0.423,0.805,0.781,101,101,0.416,0.584
radar ptfar,681,0.342,-0.322,-0.288,0.739,0.798,69,69,0.217,0.783
radar ptflr,131,0.835,0.189,-0.088,0.962,0.933,14,14,0.714,0.286
radar ptlis,447,0.472,0.146,0.156,0.789,0.738,45,45,0.244,0.756
radar ptprt,721,0.606,0.311,0.160,0.801,0.800,73,73,0.315,0.685
radar ptsmg,132,0.721,0.117,-0.032,0.899,0.938,14,14,0.571,0.429
radar pttrc,507,0.797,-0.166,0.085,0.867,0.931,51,51,0.569,0.431
