radar,night,ws_10m,tail_10m,cross_10m,tail0_10m,ws_100m,tail_100m,cross_100m,tail0_100m,ws_925hPa,tail_925hPa,cross_925hPa,tail0_925hPa,ws_850hPa,tail_850hPa,cross_850hPa,tail0_850hPa,ws_700hPa,tail_700hPa,cross_700hPa,tail0_700hPa,t2m,rh2m,pmsl,precip,precip_h,cloud,t850,gh850,dt850_24,dp24,dt24,doy,year,doy_sin,doy_cos,lat,lon,season,pred,p_alerta,pais,nivel,percentil,ciudad
Madrid,2026-09-02,1.2630,1.0111,0.4893,0.4529,4.1130,3.1738,1.4734,-0.1912,4.4610,3.3301,1.7465,-0.4950,3.1290,-2.2035,2.0549,-1.0195,5.1380,-4.4448,2.3991,-4.1390,23.7700,32.5000,1021.0500,0.0000,0.0000,0.0000,24.4500,1601.2000,,,,245,2026,-0.8786,-0.4775,40.4168,-3.7038,otoño,1.9742,0.2401,ES,muy alto,0.9000,Madrid
Madrid,2026-09-03,1.3790,1.2799,0.4390,1.2706,4.0070,3.5963,0.9912,3.8672,4.2810,3.7271,1.3576,3.9708,2.8840,0.8535,2.6504,1.9159,5.4530,-0.7088,5.1461,-1.3478,24.0500,27.4000,1021.8500,0.0000,0.0000,10.4000,25.7500,1612.9000,0.8167,1.5667,-0.0667,246,2026,-0.8867,-0.4623,40.4168,-3.7038,otoño,1.8643,0.1486,ES,alto,0.7500,Madrid
Madrid,2026-09-04,1.5260,1.3097,0.2713,1.4436,5.3200,3.6549,2.0134,3.9862,5.5840,3.5658,2.4795,4.1659,6.8380,-0.9879,5.7377,2.1432,4.2250,0.1833,3.6905,0.8835,27.8600,24.6000,1018.9800,0.0000,0.0000,92.5000,26.5500,1594.6000,0.2167,-2.6000,2.5000,247,2026,-0.8945,-0.4470,40.4168,-3.7038,otoño,1.7062,0.2074,ES,muy alto,0.9000,Madrid
Madrid,2026-09-05,1.3450,0.7183,0.7604,-0.1075,4.4560,-0.1091,3.8650,-2.5680,4.8660,-0.4930,4.2741,-3.0366,9.0820,-5.2065,7.3484,-5.3446,6.4730,0.3377,6.0052,-1.7667,27.1400,31.6000,1019.6900,0.0000,0.0000,75.1000,23.5300,1591.7000,-4.2033,0.3667,-0.5000,248,2026,-0.9021,-0.4315,40.4168,-3.7038,otoño,1.8210,0.0859,ES,moderado,0.5000,Madrid
Madrid,2026-09-06,0.7440,-0.1002,0.5581,-0.2932,3.7220,-1.9024,3.0187,-2.3632,4.2690,-2.2280,3.4539,-2.8106,6.2860,-4.9353,3.5908,-5.0495,9.7840,-9.6002,1.7411,-8.4576,26.2100,32.7000,1018.5600,0.0000,0.0000,70.6000,23.7000,1581.3000,-1.9000,-0.7667,-1.2667,249,2026,-0.9094,-0.4159,40.4168,-3.7038,otoño,1.8351,0.0787,ES,moderado,0.5000,Madrid
Madrid,2026-09-07,1.0350,0.2681,0.9793,0.3186,3.2960,1.7815,2.6880,2.7710,3.6180,2.1090,2.8402,3.3339,2.5750,1.1310,1.9864,1.6258,4.2450,-2.9047,2.5402,-2.3583,24.0500,39.5000,1017.5600,0.0000,0.0000,43.1000,21.7700,1565.1500,-2.4300,-0.9667,-1.8667,250,2026,-0.9164,-0.4002,40.4168,-3.7038,otoño,1.9145,0.1417,ES,alto,0.7500,Madrid
Madrid,2026-09-08,1.1750,1.1626,0.1295,1.2128,4.1520,4.0400,0.8719,4.1515,4.5410,4.3914,1.0510,4.5148,4.8290,4.1109,2.3720,4.7102,9.4600,-4.8746,8.0571,-4.7621,22.2100,56.1000,1018.1300,0.0000,0.0000,28.1000,17.5300,1555.3000,-5.8367,0.6000,-2.6667,251,2026,-0.9232,-0.3844,40.4168,-3.7038,otoño,1.8820,0.1032,ES,moderado,0.5000,Madrid
Madrid,2026-09-09,1.1200,0.6006,0.5621,0.1063,4.3060,3.2591,1.2009,1.1867,4.4960,3.3952,1.2771,1.2691,2.4380,0.3654,1.8301,-0.8159,5.5620,-0.8053,5.3897,-1.6371,22.8700,37.6000,1016.1200,0.0000,0.0000,7.2000,20.5900,1545.9000,1.6567,-2.4667,1.0333,252,2026,-0.9296,-0.3685,40.4168,-3.7038,otoño,1.9413,0.1802,ES,alto,0.7500,Madrid
Barcelona,2026-09-02,1.1350,0.5909,0.9284,0.5235,1.8800,0.9601,1.5306,0.8754,3.4580,-0.3359,3.2800,0.4792,3.3460,-1.1396,3.0375,-0.3648,13.8390,-2.1211,13.6126,-3.3351,24.1400,75.9000,1021.1700,0.0000,0.0000,4.0000,20.3400,1600.1000,,,,245,2026,-0.8786,-0.4775,41.3874,2.1686,otoño,1.9448,0.1148,ES,alto,0.7500,Barcelona
Barcelona,2026-09-03,1.1760,-0.2017,0.8372,-0.8342,2.8120,-1.2600,2.0314,-2.4280,2.4770,-1.5932,1.6111,0.1056,3.6670,0.2663,3.3414,1.8789,1.7180,0.6141,1.1010,1.9630,25.1600,80.3000,1021.0900,0.0000,0.0000,0.2000,21.6600,1605.4000,0.0933,0.6333,0.7667,246,2026,-0.8867,-0.4623,41.3874,2.1686,otoño,1.9042,0.1477,ES,alto,0.7500,Barcelona
