ciudad,season,noches,pred_media,p_alerta_media,pred_q90,alerta_q90,pred_q75,alerta_q75,pred_q50,alerta_q50
Barcelona,otoño,558,1.6541,0.0832,1.9290,0.1752,1.8107,0.1080,1.6679,0.0591
Barcelona,primavera,637,1.6487,0.1067,1.8495,0.2162,1.7827,0.1447,1.6720,0.0840
Bilbao,otoño,324,1.3414,0.0949,1.5230,0.1879,1.4502,0.1230,1.3544,0.0725
Bilbao,primavera,318,1.3210,0.0899,1.5841,0.2068,1.4665,0.1182,1.2929,0.0642
Madrid,otoño,558,1.6176,0.0885,1.9330,0.1824,1.8421,0.1213,1.6954,0.0690
Madrid,primavera,637,1.6045,0.0886,1.8629,0.1797,1.7857,0.1211,1.6489,0.0693
Murcia,otoño,558,1.2523,0.0952,1.4390,0.1993,1.3412,0.1261,1.2562,0.0690
Murcia,primavera,637,1.2513,0.0880,1.3929,0.1775,1.3409,0.1188,1.2685,0.0732
Málaga,otoño,558,1.3730,0.0964,1.5459,0.2227,1.4517,0.1188,1.3659,0.0683
Málaga,primavera,637,1.4370,0.0944,1.6020,0.1838,1.5249,0.1270,1.4324,0.0747
Palma,otoño,558,1.3635,0.0807,1.5879,0.1719,1.4695,0.1014,1.3568,0.0523
Palma,primavera,637,1.3801,0.0952,1.5555,0.2099,1.4871,0.1272,1.3895,0.0701
Sevilla,otoño,558,1.1743,0.0930,1.3916,0.2095,1.3061,0.1378,1.1802,0.0614
Sevilla,primavera,637,1.1420,0.0794,1.2728,0.1547,1.2170,0.1120,1.1522,0.0634
Valencia,otoño,558,1.3375,0.0878,1.5374,0.1743,1.4439,0.1101,1.3370,0.0653
Valencia,primavera,637,1.3421,0.0938,1.5128,0.1902,1.4561,0.1283,1.3638,0.0745
Zaragoza,otoño,558,1.5384,0.1083,1.8280,0.2227,1.7406,0.1518,1.5998,0.0857
Zaragoza,primavera,637,1.3996,0.0809,1.7323,0.1793,1.6296,0.1151,1.4555,0.0590
