ciudad,pais,lat,lon,pixeles,luz_media,luz_centro,luz_max,veces_natural
Madrid,ES,40.417,-3.704,477,7.608,9.265,9.828,43.724
Barcelona,ES,41.387,2.169,485,6.278,9.559,11.560,36.081
Valencia,ES,39.470,-0.376,467,6.074,13.528,14.650,34.906
Sevilla,ES,37.389,-5.984,467,4.942,10.768,11.341,28.401
Zaragoza,ES,41.649,-0.889,493,3.057,8.032,8.633,17.569
Málaga,ES,36.721,-4.421,459,2.397,5.917,7.355,13.774
Murcia,ES,37.992,-1.131,467,2.656,6.661,7.120,15.265
Palma,ES,39.570,2.650,467,2.072,5.505,6.306,11.909
Bilbao,ES,43.263,-2.935,505,2.993,7.709,8.320,17.201
Alicante,ES,38.345,-0.481,467,2.221,4.065,6.170,12.767
Córdoba,ES,37.888,-4.779,467,1.556,6.482,7.452,8.941
Valladolid,ES,41.652,-4.724,493,1.426,3.657,3.941,8.197
Vigo,ES,42.241,-8.721,493,1.520,4.518,5.092,8.734
Gijón,ES,43.532,-5.661,505,1.348,4.373,5.069,7.747
Granada,ES,37.177,-3.599,467,1.592,3.669,4.121,9.148
Cáceres,ES,39.475,-6.372,467,0.491,2.256,2.612,2.821
Almería,ES,36.834,-2.464,459,1.164,4.387,5.828,6.691
Santander,ES,43.462,-3.810,505,1.835,6.833,7.831,10.548
Salamanca,ES,40.970,-5.663,481,0.922,3.416,3.573,5.298
Lisboa,PT,38.722,-9.139,467,6.698,10.458,12.205,38.492
Porto,PT,41.158,-8.629,485,5.089,8.703,9.249,29.247
Coimbra,PT,40.203,-8.410,477,1.246,4.077,4.601,7.160
Faro,PT,37.019,-7.930,459,1.058,3.722,5.123,6.078
Toulouse,FR,43.605,1.444,505,3.470,5.179,5.995,19.941
Montpellier,FR,43.611,3.877,505,2.643,6.238,6.783,15.188
Bordeaux,FR,44.838,-0.579,515,3.336,6.475,7.047,19.171
Marseille,FR,43.297,5.370,505,3.023,7.243,7.756,17.375
Nice,FR,43.710,7.262,505,2.115,6.292,7.067,12.157
Lyon,FR,45.764,4.836,523,3.706,6.048,6.433,21.298
