radar,night,ws_10m,tail_10m,cross_10m,tail0_10m,ws_100m,tail_100m,cross_100m,tail0_100m,ws_925hPa,tail_925hPa,cross_925hPa,tail0_925hPa,ws_850hPa,tail_850hPa,cross_850hPa,tail0_850hPa,ws_700hPa,tail_700hPa,cross_700hPa,tail0_700hPa,t2m,rh2m,pmsl,precip,precip_h,cloud,t850,gh850,dt850_24,dp24,dt24,doy,year,doy_sin,doy_cos,lat,lon,season,pred,p_alert,country,level,percentile,city
Madrid,2026-09-03,1.2790,1.0983,0.5542,1.1096,3.5450,3.0140,1.0635,3.3889,3.8680,3.2388,1.3116,3.7942,2.9650,0.9988,2.6532,2.1146,6.7180,0.4473,6.2561,-2.3195,23.8500,29.8000,1021.9700,0.0000,0.0000,2.2000,26.0000,1613.9000,,,,246,2026,-0.8867,-0.4623,40.4168,-3.7038,autumn,1.9387,0.2535,ES,very high,0.9000,Madrid
Madrid,2026-09-04,1.4470,1.3051,0.2551,1.2603,4.7020,2.5614,2.7714,2.8886,4.9500,2.1219,3.2760,2.7829,9.6910,-3.8901,7.8418,2.2786,8.3460,-3.2922,6.6023,-1.2948,26.9900,25.1000,1019.3600,0.0000,0.0000,83.3000,26.2800,1595.3000,-0.1533,-2.4333,2.1000,247,2026,-0.8945,-0.4470,40.4168,-3.7038,autumn,1.6793,0.0998,ES,moderate,0.5000,Madrid
Madrid,2026-09-05,1.1060,0.7106,0.6033,0.5106,3.7300,-0.1944,3.3462,-0.7631,4.2560,-0.7944,3.7875,-1.3711,7.1180,-5.2759,4.5012,-4.2648,5.0150,-4.7813,1.2011,-4.3533,26.5200,33.6000,1020.8700,0.0000,0.0000,98.7000,23.4900,1600.7000,-3.9100,1.6000,-1.6333,248,2026,-0.9021,-0.4315,40.4168,-3.7038,autumn,1.7012,0.0641,ES,low,0.0000,Madrid
Madrid,2026-09-06,0.9180,0.3580,0.4188,-0.4762,2.0610,-0.6645,1.5965,-1.4682,2.3920,-1.0389,1.8860,-1.5897,2.6430,-1.6641,2.0333,-3.1728,7.0810,-6.7637,1.7043,-6.2433,25.2700,39.6000,1020.7100,0.0000,0.0000,40.1000,24.0700,1600.5000,-0.4967,-0.3333,0.3333,249,2026,-0.9094,-0.4159,40.4168,-3.7038,autumn,2.0263,0.0693,ES,moderate,0.5000,Madrid
Madrid,2026-09-07,0.8170,-0.1447,0.6098,-0.5916,2.5970,-1.1955,2.0471,-2.4337,2.9440,-1.1043,2.3958,-2.3435,3.0920,-0.4611,2.2788,-0.9942,7.7770,-6.4829,3.6507,-4.8882,23.6100,26.0000,1018.8300,0.0000,0.0000,0.0000,23.2800,1578.1000,-1.4533,-1.3000,-1.0333,250,2026,-0.9164,-0.4002,40.4168,-3.7038,autumn,1.9533,0.1473,ES,high,0.7500,Madrid
Madrid,2026-09-08,1.3070,1.0430,0.4365,2.2975,2.9000,2.7008,0.8258,4.5808,3.1220,2.9121,0.8856,4.8409,6.0780,2.7259,4.8896,3.0877,11.3570,-3.7580,10.5787,-5.6251,21.1000,68.0000,1016.4400,0.3000,0.0000,76.2000,15.4700,1531.7500,-9.2300,-2.6667,-4.3333,251,2026,-0.9232,-0.3844,40.4168,-3.7038,autumn,1.8109,0.1084,ES,moderate,0.5000,Madrid
Madrid,2026-09-09,1.3190,1.2764,0.2982,1.6279,4.6860,4.4959,1.1433,6.3075,5.0460,4.8208,1.2524,6.8859,2.6730,1.6407,1.4547,2.6333,7.7290,5.5501,5.1728,6.6914,17.2000,38.3000,1018.7500,0.0000,0.0000,0.0000,14.9600,1542.2000,-2.7733,2.3333,-3.6333,252,2026,-0.9296,-0.3685,40.4168,-3.7038,autumn,1.9657,0.1224,ES,high,0.7500,Madrid
Madrid,2026-09-10,1.3309,1.1983,0.4714,1.6122,4.8509,4.6063,1.2362,5.9170,5.2800,5.0238,1.3156,6.3952,7.6927,6.8599,3.4479,7.7171,11.1709,8.9086,6.7281,7.6603,22.3273,28.8182,1017.1636,0.0000,0.0000,39.6364,17.7727,1547.2727,1.5394,-1.6667,3.7333,253,2026,-0.9358,-0.3524,40.4168,-3.7038,autumn,1.8970,0.1019,ES,moderate,0.5000,Madrid
Barcelona,2026-09-03,1.1660,-0.1632,0.8412,-0.6346,2.6700,-1.1668,2.0187,-1.9819,2.3080,-1.3367,1.6830,0.1967,4.0170,0.8291,3.6414,2.2668,1.6920,0.9720,0.8523,2.1074,25.2100,78.9000,1020.9200,0.0000,0.0000,0.3000,21.6900,1604.6000,,,,246,2026,-0.8867,-0.4623,41.3874,2.1686,autumn,2.0222,0.2066,ES,very high,0.9000,Barcelona
Barcelona,2026-09-04,0.8680,0.1651,0.7019,0.1969,1.9060,-0.3394,1.7829,-0.1472,3.5600,-3.3940,0.8770,-3.8500,2.3610,-1.8384,1.2157,-1.3461,7.7220,6.9143,3.3277,6.8064,25.9800,82.2000,1019.7300,0.0000,0.0000,14.6000,22.8800,1605.6000,1.1133,-1.5000,0.8667,247,2026,-0.8945,-0.4470,41.3874,2.1686,autumn,1.9573,0.1524,ES,high,0.7500,Barcelona
Barcelona,2026-09-05,1.0430,0.3463,0.9370,0.0836,2.4740,-0.5743,2.2568,-0.9068,5.7130,-2.8228,4.8091,-4.4842,1.2030,0.4737,0.7680,0.8831,1.0550,0.3247,0.6415,0.9926,26.4900,62.0000,1020.6200,0.0000,0.0000,11.8000,23.7000,1616.4000,1.1000,1.2000,0.2333,248,2026,-0.9021,-0.4315,41.3874,2.1686,autumn,2.1492,0.2290,ES,very high,0.9000,Barcelona
Barcelona,2026-09-06,1.0940,0.6442,0.8081,0.7372,1.6120,-0.3697,1.4254,-0.7567,6.0160,-5.3572,2.6982,-5.7457,6.7220,-6.5843,1.2566,-6.1695,5.1660,-5.0776,0.7857,-4.0982,26.1900,62.8000,1019.9200,0.0000,0.0000,54.8000,24.2800,1609.3000,0.3133,-0.8667,-0.1000,249,2026,-0.9094,-0.4159,41.3874,2.1686,autumn,1.7007,0.0370,ES,low,0.0000,Barcelona
Barcelona,2026-09-07,0.8460,0.5245,0.5424,0.7928,0.6740,0.1729,0.4068,0.7289,5.3350,-4.7958,2.2958,-6.0646,9.2690,-8.8551,2.5796,-7.7895,4.8980,-3.6312,2.7632,-1.3193,24.2600,92.9000,1019.4600,0.0000,0.0000,60.9000,22.0500,1586.8000,-2.5167,-0.2000,-1.8667,250,2026,-0.9164,-0.4002,41.3874,2.1686,autumn,1.5679,0.0253,ES,low,0.0000,Barcelona
Barcelona,2026-09-08,1.0960,-0.0179,0.6023,-0.1440,2.1440,-0.2669,1.3033,-0.7063,4.1830,0.0518,3.4736,0.4918,3.8440,-1.5630,2.8431,-2.6507,11.0300,-9.0953,5.9193,-8.0176,24.0200,86.1000,1012.9400,18.2300,0.7000,100.0000,16.2100,1513.9000,-6.9567,-7.4667,0.8333,251,2026,-0.9232,-0.3844,41.3874,2.1686,autumn,1.4283,0.0542,ES,low,0.0000,Barcelona
Barcelona,2026-09-09,1.9750,0.5747,0.8110,-0.9248,4.2640,0.3857,1.8038,-3.5788,5.0530,-2.3962,1.9597,-7.6762,5.1370,-2.9035,4.0789,-5.4966,8.3670,5.9444,5.7214,5.9155,22.2400,69.8000,1014.7500,0.0000,0.0000,43.0000,12.8000,1512.2000,-6.5333,2.1667,-2.9333,252,2026,-0.9296,-0.3685,41.3874,2.1686,autumn,1.7469,0.0760,ES,moderate,0.5000,Barcelona
Barcelona,2026-09-10,1.1290,0.5477,0.7908,0.6474,1.5000,0.6909,0.7634,0.1895,1.6720,-1.5178,0.5926,-1.3066,4.8380,1.7240,4.4060,1.1821,10.9840,9.2730,5.7343,10.1839,20.6900,81.1000,1014.5700,0.0000,0.0000,47.9000,12.6100,1510.1000,0.0100,0.0000,-1.1667,253,2026,-0.9358,-0.3524,41.3874,2.1686,autumn,1.7561,0.1444,ES,high,0.7500,Barcelona
Valencia,2026-09-03,0.8973,-0.4822,0.5652,-0.1731,2.1300,-1.0901,1.6241,-0.3663,3.0145,-1.2050,1.8642,0.5461,3.0536,-0.8039,2.3028,-2.4284,5.6427,1.6251,5.3589,2.2725,24.8818,83.0909,1020.8909,0.0000,0.0000,1.1818,23.0636,1610.8182,,,,246,2026,-0.8867,-0.4623,39.4699,-0.3763,autumn,1.5654,0.1226,ES,high,0.7500,Valencia
Valencia,2026-09-04,0.9845,0.6321,0.5360,1.0966,2.1527,2.0668,0.4103,2.8376,2.6327,0.7057,2.2315,0.1870,4.9191,3.5632,3.0013,3.8521,11.1618,10.6687,2.9016,12.7035,24.9364,85.4545,1019.5727,0.0000,0.0000,70.8182,23.4273,1605.3636,0.1273,-1.8667,0.6667,247,2026,-0.8945,-0.4470,39.4699,-0.3763,autumn,1.4741,0.1067,ES,moderate,0.5000,Valencia
Valencia,2026-09-05,0.9945,-0.4498,0.8396,-0.2561,2.2618,-0.0848,2.2273,-0.1127,3.8673,-2.0738,3.1662,-2.0205,7.2836,-3.3498,6.4465,-2.6997,10.8718,-3.4648,10.1551,-2.4103,23.8545,74.8182,1021.0273,0.0000,0.0000,72.1818,22.5182,1611.1818,-1.9485,1.9000,-0.9000,248,2026,-0.9021,-0.4315,39.4699,-0.3763,autumn,1.4545,0.0894,ES,moderate,0.5000,Valencia
Valencia,2026-09-06,1.0836,-0.0717,0.8341,0.4098,2.1182,0.3807,1.7703,1.1337,3.4736,-2.0238,2.6450,-1.7251,1.3700,-0.9613,0.8369,-0.3707,1.1373,0.0757,0.9354,0.0308,24.0091,53.4545,1020.0727,0.0000,0.0000,47.5455,22.9727,1605.1818,-0.0273,-0.8667,1.0333,249,2026,-0.9094,-0.4159,39.4699,-0.3763,autumn,1.4880,0.0964,ES,moderate,0.5000,Valencia
Valencia,2026-09-07,1.3782,0.5836,0.8078,1.5060,3.2082,1.9267,1.0597,5.1672,3.6336,-1.6453,3.0871,-1.1436,6.0991,-5.6677,1.8325,-5.2948,6.7655,-2.2751,6.1278,-0.3051,24.1545,65.9091,1018.4818,0.0000,0.0000,9.4545,24.0091,1588.8182,1.1424,-1.2333,-0.3000,250,2026,-0.9164,-0.4002,39.4699,-0.3763,autumn,1.3709,0.1084,ES,moderate,0.5000,Valencia
Valencia,2026-09-08,1.3800,0.6225,0.7460,1.3476,3.3709,2.2353,1.0919,4.6489,4.8509,2.4550,2.2741,-0.2816,5.0682,-0.3813,4.8530,0.9277,12.4164,-8.0111,9.2043,-11.0399,24.9273,78.3636,1011.5727,7.0000,0.1818,98.0909,20.4909,1520.8409,-3.4758,-8.2333,0.0667,251,2026,-0.9232,-0.3844,39.4699,-0.3763,autumn,1.3345,0.1556,ES,high,0.7500,Valencia
Valencia,2026-09-09,1.0873,-0.3312,0.9779,-0.5853,2.0745,-0.3621,1.7059,-1.4319,1.9709,-0.7324,1.5356,-0.4426,5.9155,1.3635,4.8595,4.8841,8.9709,5.7395,6.4260,3.9991,20.2818,74.4545,1016.5091,0.0000,0.0000,33.9091,13.1091,1529.9091,-11.0909,5.6667,-3.9000,252,2026,-0.9296,-0.3685,39.4699,-0.3763,autumn,1.5749,0.2266,ES,very high,0.9000,Valencia
Valencia,2026-09-10,1.3745,0.1784,1.1511,0.6855,2.6291,1.1504,1.5330,2.4990,2.7418,1.2945,1.8709,1.2999,5.9055,4.5093,3.5097,5.5699,13.3836,8.3338,10.2138,6.2586,21.5182,66.0000,1014.3545,0.0000,0.0000,43.8182,16.2182,1525.3636,2.0848,-1.9000,0.6000,253,2026,-0.9358,-0.3524,39.4699,-0.3763,autumn,1.6030,0.2063,ES,very high,0.9000,Valencia
Sevilla,2026-09-03,1.3030,-1.1888,0.4069,-1.9439,4.6050,-3.0973,3.3218,-4.9685,1.6990,0.2325,0.7034,1.1141,4.4030,2.0491,3.6664,3.1597,4.3100,3.4568,2.0686,5.0204,28.1600,65.2000,1018.5900,0.0000,0.0000,49.7000,27.0200,1615.6000,,,,246,2026,-0.8867,-0.4623,37.3891,-5.9845,autumn,1.4939,0.3310,ES,very high,0.9000,Sevilla
Sevilla,2026-09-04,1.0370,-0.4278,0.5687,-0.9678,2.6840,0.4016,2.0052,0.6030,2.7390,0.3509,2.3519,0.9544,5.0570,-4.1556,2.7415,-4.7290,9.4710,-8.2408,4.3442,-8.4821,27.9600,63.7000,1017.0800,0.0000,0.0000,95.4000,23.9900,1593.4000,-3.4767,-0.7667,-1.4000,247,2026,-0.8945,-0.4470,37.3891,-5.9845,autumn,1.2434,0.0816,ES,moderate,0.5000,Sevilla
Sevilla,2026-09-05,1.0190,-0.1464,0.3507,-1.2361,3.6670,0.3387,2.2484,-2.8525,1.3950,0.5374,1.1055,0.0828,3.8030,-3.0350,2.0252,-2.5925,4.5930,-4.3658,1.2901,-3.9619,27.9600,53.4000,1017.9200,0.0000,0.0000,28.3000,23.7000,1595.6000,-0.8000,0.2333,0.9333,248,2026,-0.9021,-0.4315,37.3891,-5.9845,autumn,1.4580,0.1162,ES,moderate,0.5000,Sevilla
Sevilla,2026-09-06,1.3360,-1.1833,0.5441,-1.5678,4.6850,-3.1809,3.2898,-4.8122,4.7810,1.8223,3.4461,0.3333,1.9680,0.8143,0.8389,2.3228,3.3650,-2.4068,1.9919,-2.5819,27.1300,49.6000,1018.9200,0.0000,0.0000,0.0000,23.6600,1605.9000,-0.3733,1.4000,-0.5333,249,2026,-0.9094,-0.4159,37.3891,-5.9845,autumn,1.4909,0.1813,ES,high,0.7500,Sevilla
Sevilla,2026-09-07,1.0780,-0.8439,0.4890,-1.4282,3.2420,-0.8084,2.6767,-2.5179,3.7260,1.6329,3.0729,2.5942,3.9850,-3.1517,2.0391,-2.3333,7.4390,-5.9634,4.3467,-5.0285,26.6900,53.6000,1018.1200,0.0000,0.0000,0.0000,23.4400,1599.6000,-0.6933,-0.7667,0.9667,250,2026,-0.9164,-0.4002,37.3891,-5.9845,autumn,1.3672,0.1317,ES,moderate,0.5000,Sevilla
Sevilla,2026-09-08,1.6430,0.2178,1.6263,0.2234,5.8750,2.3891,5.2982,2.4060,8.7290,6.8140,5.1240,6.2908,4.1340,0.8274,4.0211,0.2482,9.1640,-1.9108,8.7080,-3.7536,26.6800,40.8000,1015.0400,0.0000,0.0000,40.6000,20.3500,1552.9250,-3.7833,-3.1000,-1.0667,251,2026,-0.9232,-0.3844,37.3891,-5.9845,autumn,1.2798,0.1508,ES,high,0.7500,Sevilla
Sevilla,2026-09-09,1.3650,-0.9407,0.7288,-1.8854,3.6300,-3.3952,0.8789,-5.6967,3.3210,-0.4976,2.4783,-2.2735,1.5280,0.5599,1.1095,1.0592,2.7280,2.4926,0.6420,0.7039,23.4000,69.7000,1014.8400,0.0000,0.0000,40.3000,18.7100,1544.7000,-2.6567,-0.5667,-5.0000,252,2026,-0.9296,-0.3685,37.3891,-5.9845,autumn,1.3140,0.1644,ES,high,0.7500,Sevilla
