city,season,doy_bin,doy_centre,nights,pred_mean,p_alert_mean,pred_q90,alert_q90,pred_q75,alert_q75,pred_q50,alert_q50
Alicante,spring,3,35,66,1.0486,0.0274,1.1675,0.0512,1.1228,0.0360,1.0553,0.0254
Alicante,spring,4,45,126,1.1020,0.0382,1.2552,0.0841,1.1856,0.0507,1.1021,0.0298
Alicante,spring,5,55,186,1.1549,0.0696,1.3322,0.1718,1.2475,0.0942,1.1590,0.0420
Alicante,spring,6,65,246,1.1757,0.0762,1.3433,0.1738,1.2709,0.1064,1.1821,0.0509
Alicante,spring,7,75,258,1.2226,0.0913,1.3714,0.1829,1.3041,0.1270,1.2268,0.0763
Alicante,spring,8,85,258,1.2471,0.1019,1.3799,0.1996,1.3106,0.1373,1.2466,0.0872
Alicante,spring,9,95,258,1.2533,0.1038,1.3821,0.2059,1.3261,0.1386,1.2577,0.0894
Alicante,spring,10,105,258,1.2564,0.0979,1.3757,0.1974,1.3290,0.1324,1.2645,0.0798
Alicante,spring,11,115,258,1.2662,0.0979,1.3812,0.2029,1.3264,0.1318,1.2725,0.0790
Alicante,spring,12,125,258,1.2707,0.0932,1.3877,0.1907,1.3355,0.1256,1.2787,0.0730
Alicante,spring,13,135,229,1.2743,0.0895,1.3897,0.1856,1.3359,0.1224,1.2824,0.0693
Alicante,spring,14,145,169,1.2732,0.0823,1.3916,0.1559,1.3353,0.1110,1.2787,0.0630
Alicante,spring,15,155,109,1.2698,0.0799,1.3986,0.1617,1.3452,0.1058,1.2779,0.0617
Alicante,autumn,22,225,117,1.2250,0.0583,1.3675,0.1202,1.2686,0.0624,1.2164,0.0440
Alicante,autumn,23,235,167,1.2174,0.0608,1.3489,0.1202,1.2639,0.0704,1.2047,0.0454
Alicante,autumn,24,245,217,1.2350,0.0715,1.3848,0.1551,1.2895,0.0858,1.2203,0.0501
Alicante,autumn,25,255,226,1.2485,0.0805,1.4114,0.1695,1.3016,0.1052,1.2276,0.0578
Alicante,autumn,26,265,216,1.2787,0.0986,1.4446,0.2011,1.3542,0.1289,1.2657,0.0768
Alicante,autumn,27,275,215,1.2976,0.1099,1.4480,0.2075,1.3782,0.1521,1.2979,0.0865
Alicante,autumn,28,285,215,1.3048,0.1166,1.4480,0.2285,1.3782,0.1621,1.2979,0.0928
Alicante,autumn,29,295,215,1.2925,0.1173,1.4401,0.2388,1.3758,0.1586,1.2939,0.0928
Alicante,autumn,30,305,215,1.2409,0.1036,1.4211,0.2219,1.3496,0.1420,1.2377,0.0779
Alicante,autumn,31,315,206,1.1795,0.0858,1.3784,0.1796,1.2914,0.1087,1.1822,0.0630
Alicante,autumn,32,325,156,1.1376,0.0739,1.3456,0.1557,1.2298,0.0951,1.1252,0.0485
Alicante,autumn,33,335,106,1.0716,0.0479,1.2150,0.0964,1.1385,0.0644,1.0705,0.0418
Almería,spring,3,35,66,1.2532,0.0355,1.3507,0.0671,1.2950,0.0467,1.2432,0.0284
Almería,spring,4,45,126,1.2667,0.0481,1.3865,0.1033,1.3091,0.0655,1.2559,0.0385
Almería,spring,5,55,186,1.2962,0.0761,1.4290,0.1606,1.3588,0.1066,1.2773,0.0595
Almería,spring,6,65,246,1.3100,0.0802,1.4373,0.1626,1.3789,0.1079,1.2964,0.0623
