ciudad,season,noches,vid_medio,vid_picos,pais,lat,lon,pixeles,luz_media,luz_centro,luz_max,veces_natural,exposicion_media,exposicion_picos
Madrid,otoño,558,4.623,9.153,ES,40.417,-3.704,477,7.608,9.265,9.828,43.724,100.000,100.000
Barcelona,otoño,558,4.754,9.501,ES,41.387,2.169,485,6.278,9.559,11.560,36.081,84.865,85.661
Valencia,otoño,558,2.490,5.127,ES,39.470,-0.376,467,6.074,13.528,14.650,34.906,42.997,44.717
Zaragoza,otoño,558,3.965,8.088,ES,41.649,-0.889,493,3.057,8.032,8.633,17.569,34.461,35.508
Sevilla,otoño,558,1.727,3.672,ES,37.389,-5.984,467,4.942,10.768,11.341,28.401,24.264,26.061
Bilbao,otoño,324,2.505,4.466,ES,43.263,-2.935,505,2.993,7.709,8.320,17.201,21.316,19.196
Málaga,otoño,558,2.656,4.941,ES,36.721,-4.421,459,2.397,5.917,7.355,13.774,18.098,17.007
Palma,otoño,558,2.651,5.438,ES,39.570,2.650,467,2.072,5.505,6.306,11.909,15.622,16.183
Murcia,otoño,558,2.043,3.781,ES,37.992,-1.131,467,2.656,6.661,7.120,15.265,15.425,14.421
Madrid,primavera,637,4.386,8.474,ES,40.417,-3.704,477,7.608,9.265,9.828,43.724,94.878,92.588
Barcelona,primavera,637,4.639,8.322,ES,41.387,2.169,485,6.278,9.559,11.560,36.081,82.799,75.026
Valencia,primavera,637,2.504,4.063,ES,39.470,-0.376,467,6.074,13.528,14.650,34.906,43.241,35.438
Zaragoza,primavera,637,3.081,6.699,ES,41.649,-0.889,493,3.057,8.032,8.633,17.569,26.777,29.409
Bilbao,primavera,318,2.450,5.286,ES,43.263,-2.935,505,2.993,7.709,8.320,17.201,20.843,22.720
Sevilla,primavera,637,1.531,2.747,ES,37.389,-5.984,467,4.942,10.768,11.341,28.401,21.512,19.493
Málaga,primavera,637,3.032,5.020,ES,36.721,-4.421,459,2.397,5.917,7.355,13.774,20.659,17.277
Palma,primavera,637,2.715,4.991,ES,39.570,2.650,467,2.072,5.505,6.306,11.909,15.998,14.852
Murcia,primavera,637,2.016,3.230,ES,37.992,-1.131,467,2.656,6.661,7.120,15.265,15.222,12.322
