radar,metric,season,nights,years,first,last,p50,p70,p90,max,share_top10,lat,lon
esalm,mtr_night,spring,121,5,2018-03-04,2023-04-29,33.7,100.1,232.6,1574.4,0.5,36.8,-2.1
esalm,mtr_night,autumn,186,5,2018-08-18,2022-11-14,66.4,172.7,558.0,3755.6,0.6,36.8,-2.1
esbad,mtr_night,spring,133,5,2018-03-07,2023-05-18,86.5,177.0,579.4,1694.9,0.5,39.4,-6.3
esbad,mtr_night,autumn,149,5,2018-08-15,2022-11-01,177.2,630.2,1430.9,5016.7,0.5,39.4,-6.3
esbar,mtr_night,spring,95,4,2018-02-26,2023-04-28,36.9,100.2,530.3,2489.5,0.6,41.4,1.9
esbar,mtr_night,autumn,220,4,2018-08-16,2022-11-12,205.8,527.5,1444.8,14883.8,0.5,41.4,1.9
escor,mtr_night,autumn,84,4,2018-08-18,2022-09-17,28.6,73.0,204.8,725.2,0.5,43.2,-8.5
eslid,mtr_night,spring,134,5,2018-03-05,2023-05-07,86.3,263.8,830.2,2725.5,0.5,42.0,-4.6
eslid,mtr_night,autumn,238,5,2018-08-17,2022-11-10,871.6,1653.2,3338.6,18765.6,0.4,42.0,-4.6
esmad,mtr_night,spring,117,3,2018-03-22,2020-05-31,49.4,118.1,308.4,703.3,0.4,40.2,-3.7
esmad,mtr_night,autumn,161,4,2018-08-15,2021-10-22,120.1,361.0,875.5,2401.8,0.4,40.2,-3.7
esmal,mtr_night,spring,170,5,2018-02-28,2023-05-15,58.9,190.8,812.5,3768.2,0.5,36.6,-4.7
esmal,mtr_night,autumn,195,5,2018-08-29,2022-11-04,86.4,214.6,731.4,3220.2,0.5,36.6,-4.7
esmur,mtr_night,spring,79,4,2018-03-08,2023-05-10,64.2,141.3,393.7,775.3,0.4,38.3,-1.2
esmur,mtr_night,autumn,98,5,2018-08-23,2022-11-13,62.9,139.8,640.0,4167.8,0.6,38.3,-1.2
espma,mtr_night,spring,98,4,2018-02-27,2023-05-11,24.3,60.8,156.4,700.2,0.5,39.4,2.8
espma,mtr_night,autumn,146,6,2017-11-12,2022-11-04,35.2,85.9,282.6,1485.3,0.6,39.4,2.8
essan,mtr_night,spring,126,5,2018-03-05,2023-05-08,49.3,145.4,519.8,3507.4,0.6,43.5,-6.3
essan,mtr_night,autumn,132,4,2018-08-17,2022-09-27,19.5,57.8,198.5,24969.6,0.9,43.5,-6.3
essev,mtr_night,spring,143,5,2018-03-02,2023-04-18,46.3,138.8,478.4,1656.0,0.5,37.7,-6.3
essev,mtr_night,autumn,164,5,2018-08-16,2022-11-01,73.4,201.4,1094.4,4243.9,0.6,37.7,-6.3
essse,mtr_night,spring,125,5,2018-02-25,2023-05-05,117.9,374.2,995.7,5681.8,0.5,43.4,-2.8
essse,mtr_night,autumn,114,5,2017-11-08,2022-11-04,86.2,240.4,671.4,8693.4,0.6,43.4,-2.8
esval,mtr_night,spring,85,3,2018-03-08,2020-05-29,29.3,57.3,158.4,700.2,0.5,39.2,-0.3
esval,mtr_night,autumn,83,3,2018-09-25,2020-11-27,27.1,57.2,209.7,731.5,0.5,39.2,-0.3
eszar,mtr_night,spring,111,5,2018-03-27,2023-05-17,124.1,351.0,1216.0,2777.9,0.5,41.7,-0.5
eszar,mtr_night,autumn,236,5,2018-08-16,2022-11-05,618.8,1155.9,2269.2,7044.5,0.4,41.7,-0.5
frabb,mtr_night,spring,337,5,2017-03-02,2021-03-18,735.2,1802.7,5239.6,72313.4,0.6,50.1,1.8
frabb,mtr_night,autumn,455,6,2016-08-17,2021-11-20,1398.6,2562.8,6866.2,81872.4,0.6,50.1,1.8
fraja,mtr_night,spring,157,2,2020-02-15,2021-04-18,794.7,1855.9,3504.0,11851.7,0.4,42.0,8.7
fraja,mtr_night,autumn,196,5,2019-09-04,2025-11-18,666.8,1164.7,2412.6,8059.5,0.4,42.0,8.7
frale,mtr_night,spring,305,5,2017-02-23,2021-05-28,473.6,3993.4,33712.1,824628.7,0.8,42.1,9.5
