radar,momento,capas_m,ff_media_ms,concentracion,N,NE,E,SE,S,SO,O,NO
estjv,noche,600-1600,8.940628795142885,0.5452954777983029,24.49715709627377,31.783974204832642,9.044709150876642,6.136638694745504,3.660897303058591,3.0916799757017595,4.389768293138506,17.395175281372584
estjv,día,600-1600,5.49108550497012,0.2376704081027625,16.474253789391753,21.47612807334573,13.13371389894609,7.306974566062633,7.229390512885278,10.407160474779236,9.344781059793757,14.627597624795527
esgld,noche,600-1600,8.612079505959356,0.7231200005202301,13.172357192048311,61.355457787781575,10.17216518079596,1.9245913165572806,1.269847058513421,1.8997715937576165,4.4328753348242245,5.7729345357216095
esgld,día,600-1600,4.883855602133242,0.35587888874506146,15.54797331679123,20.984522707544954,23.323349010804137,9.861787571377912,3.1554856314044146,2.739287981083712,11.841429184654436,12.546164596339205
esahr,noche,1200-2000,7.9280013903825255,0.4502301767113232,24.366127974750608,26.454970802535993,8.636280514898353,6.499527637625125,4.209827978250727,3.763827815572729,9.68158491428312,16.387852362083347
esahr,día,1200-2000,7.106096542525997,0.3687958112356123,10.22681574382433,18.167737105552835,14.635322270187084,4.970258121007317,3.018324149462017,2.678945577653815,15.50054275557026,30.80205427674234
essft,noche,600-1600,8.65341611523716,0.6884685339077636,35.54339066441861,39.949544272873446,5.444544269038347,3.628344757283237,3.6326805236896993,1.4200356170455526,3.6204822909552217,6.760977604695885
essft,día,600-1600,8.03478109536558,0.43393102872271955,34.97850227715547,8.872280654336278,3.8328963043869417,7.962760533955343,7.176166608311169,4.209211331443803,10.73979493627959,22.228387354131407
ptlis,noche,0-4800,8.281525496579807,0.10757980363941581,24.594333492714714,13.607715852092692,5.112206676229291,15.072137239756412,15.921584926868743,9.201426678999377,5.852231081694426,10.638364051644343
ptlis,día,0-4800,6.609370977473596,0.20283548970660198,13.390750868193232,12.194836069522928,7.365679270347074,33.59506277115653,7.678184859084252,9.57890472585579,5.254567822765888,10.942013613074312
ptprt,noche,1000-4800,9.091388576234712,0.5927753055810432,36.75933368315965,28.33331227964337,5.018109778312293,4.069550552494919,5.023453207314661,3.511973770290106,3.770449087058315,13.513817641726686
ptprt,día,1000-4800,11.154937531590301,0.5943360419192875,46.387287213495895,9.656007384369394,3.190375166973827,3.102781358141472,3.497924119642558,5.017714708724327,10.605422398782766,18.542487649869766
